airport,runway,lat,lon,reciprocal,reciprocal_lat,reciprocal_lon
LKK,07,58.96453472,-155.10723167,25,58.96547528,-155.08399333
LKK,25,58.96547528,-155.08399333,07,58.96453472,-155.10723167
UBW,06,70.32887919,-149.62408631,24,70.33248047,-149.57204397
UBW,24,70.33248047,-149.57204397,06,70.32887919,-149.62408631
KWT,18,60.79454903,-161.44124217,36,60.78613244,-161.44614392
KWT,36,60.78613244,-161.44614392,18,60.79454903,-161.44124217
GGV,15,59.87810833,-163.16941944,33,59.87326944,-163.16675556
GGV,33,59.87326944,-163.16675556,15,59.87810833,-163.16941944
Z55,13,62.29505278,-146.58160278,31,62.28818333,-146.57309722
Z55,31,62.28818333,-146.57309722,13,62.29505278,-146.58160278
2A3,04,57.53304753,-153.98239031,22,57.53710328,-153.97096917
2A3,22,57.53710328,-153.97096917,04,57.53304753,-153.98239031
9Z9,15,60.41510278,-149.36961111,33,60.40866667,-149.36907222
9Z9,33,60.40866667,-149.36907222,15,60.41510278,-149.36961111
9Z8,01,59.12303119,-156.86372186,19,59.13110828,-156.85606758
9Z8,19,59.13110828,-156.85606758,01,59.12303119,-156.86372186
2AK,10,61.36017500,-155.44406389,28,61.35808611,-155.43670833
2AK,28,61.35808611,-155.43670833,10,61.36017500,-155.44406389
4AK,15,65.47133547,-148.65499906,33,65.46320089,-148.65249525
4AK,33,65.46320089,-148.65249525,15,65.47133547,-148.65499906
15Z,01,61.43404922,-142.90866767,19,61.44158892,-142.89633833
15Z,19,61.44158892,-142.89633833,01,61.43404922,-142.90866767
AK0,10,61.21977222,-142.89334722,28,61.21797222,-142.88907500
AK0,28,61.21797222,-142.88907500,10,61.21977222,-142.89334722
MCG,05,62.95677861,-155.61883933,23,62.95886433,-155.60773458
MCG,23,62.95886433,-155.60773458,05,62.95677861,-155.61883933
MCG,17,62.95920256,-155.60528836,35,62.95770844,-155.60522608
MCG,35,62.95770844,-155.60522608,17,62.95920256,-155.60528836
MLY,18,64.99230442,-150.64372061,36,64.98359961,-150.65141842
MLY,36,64.98359961,-150.65141842,18,64.99230442,-150.64372061
MBA,03,58.92861075,-158.90753703,21,58.93550483,-158.89625483
MBA,21,58.93550483,-158.89625483,03,58.92861075,-158.90753703
MDM,07,61.86379464,-162.03535275,25,61.86455453,-162.01689017
MDM,25,61.86455453,-162.01689017,07,61.86379464,-162.03535275
MYU,06,60.37066533,-166.27772475,24,60.37412164,-166.26268736
MYU,24,60.37412164,-166.26268736,06,60.37066533,-166.27772475
EWU,12,60.81331242,-164.50650225,30,60.80749158,-164.49237828
EWU,30,60.80749158,-164.49237828,12,60.81331242,-164.50650225
MDO,02,59.44420864,-146.31285217,20,59.45134475,-146.30329019
MDO,20,59.45134475,-146.30329019,02,59.44420864,-146.31285217
MDO,13,59.45627611,-146.30752586,31,59.45273186,-146.30345925
